.outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  cover
0.07,when,class.prev.payment.type14,is,0,&,source.groupREG,is,0,&,acquisition.groupFIR,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,class.prev.payment.type17,is,0,&,source.groupGIV,is,0,&,source.groupGNR,is,0,&,class.prev.source.groupCLR,is,0,&,class.prev.activity.clustersCluster In Memory Donations/Collections,is,0,&,acquisition.groupLLU,is,0,,,,,&,acquisition.groupSUN,is,1,,,,,,,,,,,,,,,,,,,,,&,class.prev.payment.type2,is,1, 0%
0.16,when,class.prev.payment.type14,is,0,&,source.groupREG,is,0,&,acquisition.groupFIR,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,class.prev.payment.type17,is,0,&,source.groupGIV,is,0,&,source.groupGNR,is,0,&,class.prev.source.groupCLR,is,0,&,class.prev.activity.clustersCluster In Memory Donations/Collections,is,0,&,acquisition.groupLLU,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0%
0.20,when,class.prev.payment.type14,is,0,&,source.groupREG,is,0,&,acquisition.groupFIR,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 4%
0.38,when,class.prev.payment.type14,is,0,&,source.groupREG,is,0,&,acquisition.groupFIR,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,class.prev.payment.type17,is,0,&,source.groupGIV,is,0,&,source.groupGNR,is,0,&,class.prev.source.groupCLR,is,0,&,class.prev.activity.clustersCluster In Memory Donations/Collections,is,0,&,acquisition.groupLLU,is,0,,,,,&,acquisition.groupSUN,is,0,,,,,,,,,,,,,,,,,&,acquisition.groupBUB,is,1,,,,, 1%
0.40,when,class.prev.payment.type14,is,0,&,source.groupREG,is,0,&,acquisition.groupFIR,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,class.prev.payment.type17,is,0,&,source.groupGIV,is,0,&,source.groupGNR,is,0,&,class.prev.source.groupCLR,is,0,&,class.prev.activity.clustersCluster In Memory Donations/Collections,is,1,,,,,,,,,,,,,,,,,,,,,,,,,&,donor.genderMale,is,1,,,,,,,,, 1%
0.42,when,class.prev.payment.type14,is,0,&,source.groupREG,is,0,&,acquisition.groupFIR,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,class.prev.payment.type17,is,0,&,source.groupGIV,is,0,&,source.groupGNR,is,0,&,class.prev.source.groupCLR,is,1,,,,,,,,,,,,,,,,,,,,,,,,,&,acquisition.groupCLR,is,1,,,,,,,,,,,,, 3%
0.43,when,class.prev.payment.type14,is,0,&,source.groupREG,is,0,&,acquisition.groupFIR,is,0,&,class.prev.source.groupNo Previous Donation,is,1,,,,,,,,,,,,,,,,,,,,,,,,,&,acquisition.groupGNR,is,0,,,,,&,acquisition.groupSEV,is,0,&,acquisition.groupSTR,is,0,,,,,,,,,,,,,,,,, 9%
0.58,when,class.prev.payment.type14,is,0,&,source.groupREG,is,0,&,acquisition.groupFIR,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,class.prev.payment.type17,is,0,&,source.groupGIV,is,0,&,source.groupGNR,is,0,&,class.prev.source.groupCLR,is,0,&,class.prev.activity.clustersCluster In Memory Donations/Collections,is,1,,,,,,,,,,,,,,,,,,,,,,,,,&,donor.genderMale,is,0,,,,,,,,, 3%
0.62,when,class.prev.payment.type14,is,0,&,source.groupREG,is,0,&,acquisition.groupFIR,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,class.prev.payment.type17,is,0,&,source.groupGIV,is,0,&,source.groupGNR,is,0,&,class.prev.source.groupCLR,is,0,&,class.prev.activity.clustersCluster In Memory Donations/Collections,is,0,&,acquisition.groupLLU,is,0,,,,,&,acquisition.groupSUN,is,1,,,,,,,,,,,,,,,,,,,,,&,class.prev.payment.type2,is,0, 1%
0.67,when,class.prev.payment.type14,is,0,&,source.groupREG,is,0,&,acquisition.groupFIR,is,0,&,class.prev.source.groupNo Previous Donation,is,1,,,,,,,,,,,,,,,,,,,,,,,,,&,acquisition.groupGNR,is,0,,,,,&,acquisition.groupSEV,is,1,,,,,,,,,,,,,,,,,,,,, 1%
